timestamp,machine_id,operation_id,spindle_speed_rpm,feed_rate_mm_min,x_axis_position,y_axis_position,z_axis_position,vibration_x_g,vibration_y_g,vibration_z_g,spindle_temp_c,motor_temp_c,cutting_force_n,acoustic_emission_ae,power_consumption_kw,tool_wear_state,surface_roughness_ra_um,chatter_detected,remaining_useful_life_min
2025-10-16T09:22:13Z,CNC-01,OP-001,5365,540.0039734398761,171.72,139.474,-1.884,0.2784,0.2773,0.1317,78.25,33.19,273.13640412698135,6.977,5.7,0,0.394,False,49.85
2025-10-16T09:22:14Z,CNC-02,OP-001,5442,560.2793497927503,165.526,126.333,-15.162,0.2573,0.2027,0.1557,79.3,32.41,313.600045098046,7.142,5.748,0,0.433,False,55.82
2025-10-16T09:22:15Z,CNC-01,OP-001,4385,596.5568179380306,93.911,37.894,-2.598,0.3263,0.3095,0.2372,68.5,30.8,241.932608910672,3.937,4.613,0,0.399,False,58.22
2025-10-16T09:22:16Z,CNC-02,OP-001,5814,816.8947673722229,157.385,132.97,-14.103,0.2537,0.2583,0.3718,81.06,32.08,347.23725058288295,5.805,6.237,0,0.384,False,58.17
2025-10-16T09:22:17Z,CNC-01,OP-001,5853,998.3368087999813,6.164,87.343,-4.292,0.1841,0.1758,0.2579,82.66,32.7,378.2904529398568,7.864,6.259,0,0.361,False,55.91
2025-10-16T09:22:18Z,CNC-02,OP-001,5548,634.5185147333372,4.542,18.01,-14.447,0.276,0.2953,0.237,79.33,31.82,287.23348421391944,6.839,5.763,0,0.265,False,49.87
2025-10-16T09:22:19Z,CNC-01,OP-001,3412,550.6882930996296,181.716,139.941,-5.317,0.37,0.1733,0.1869,59.51,27.17,222.75856879804607,3.229,3.539,0,0.399,False,55.23
2025-10-16T09:22:20Z,CNC-02,OP-001,4287,438.48553640288634,151.704,143.893,-8.642,0.2581,0.1515,0.2153,68.6,31.07,265.33902766049334,5.768,4.703,0,0.418,False,50.12
2025-10-16T09:22:21Z,CNC-01,OP-001,4232,568.3560146486188,116.212,69.374,-11.818,0.1161,0.2273,0.2362,67.98,29.62,211.02261555950594,7.227,4.838,0,0.199,False,60.0
2025-10-16T09:22:22Z,CNC-02,OP-001,4024,696.1606849550786,87.782,4.322,-16.526,0.2064,0.1115,0.1683,65.45,31.6,284.5691603753629,5.797,4.517,0,0.324,False,48.48
2025-10-16T09:22:23Z,CNC-01,OP-001,3841,618.6934838660617,74.184,165.958,-16.165,0.3042,0.2235,0.1819,62.73,28.5,290.3752355460458,4.897,4.14,0,0.27,False,58.72
2025-10-16T09:22:24Z,CNC-02,OP-001,6894,839.9979033933596,178.689,103.772,-6.319,0.4392,0.3386,0.3836,91.41,35.4,377.55155409299573,7.989,7.012,0,0.486,False,54.21
2025-10-16T09:22:25Z,CNC-01,OP-001,4540,1165.3610730605506,174.912,39.287,-6.206,0.3441,0.2938,0.275,70.78,28.41,428.57016823237745,10.848,4.896,0,0.377,False,50.83
2025-10-16T09:22:26Z,CNC-02,OP-001,3537,580.4619082678123,160.825,143.081,-14.78,0.201,0.3107,0.2174,59.26,29.17,230.35348948033632,6.65,3.698,0,0.337,False,59.78
